          method     category     k        I-AUROC       P-AUROC           PROrec@tau  ms/img
 padim+conformal         tile     4   0.907+-0.026   0.851+-0.027   0.646+-0.022   0.512    97.3
 padim+conformal         tile    16   0.957+-0.004   0.915+-0.013   0.751+-0.014   0.722    97.2
patchcore+conformal   toothbrush     1   0.900+-0.027   0.971+-0.004   0.761+-0.029   0.711    83.8
patchcore+conformal   toothbrush     4   0.924+-0.032   0.983+-0.004   0.819+-0.040   0.811    86.4
patchcore+conformal   toothbrush    16   0.956+-0.011   0.986+-0.000   0.862+-0.008   0.822    92.2
 padim+conformal   toothbrush     1   0.829+-0.088   0.964+-0.009   0.771+-0.070   0.522   103.4
 padim+conformal   toothbrush     4   0.735+-0.066   0.963+-0.002   0.747+-0.015   0.600   106.2
 padim+conformal   toothbrush    16   0.844+-0.034   0.977+-0.002   0.851+-0.017   0.611   104.9
patchcore+conformal   transistor     1   0.730+-0.033   0.908+-0.008   0.803+-0.001   0.292    86.4
patchcore+conformal   transistor     4   0.830+-0.024   0.916+-0.013   0.841+-0.012   0.383    91.2
patchcore+conformal   transistor    16   0.881+-0.013   0.949+-0.005   0.904+-0.006   0.483    98.1
 padim+conformal   transistor     1   0.711+-0.055   0.887+-0.010   0.656+-0.018   0.233   106.2
 padim+conformal   transistor     4   0.791+-0.040   0.897+-0.022   0.739+-0.038   0.442   105.5
 padim+conformal   transistor    16   0.882+-0.024   0.947+-0.006   0.850+-0.031   0.608   105.2
patchcore+conformal         wood     1   0.958+-0.014   0.926+-0.008   0.860+-0.009   0.967    75.4
patchcore+conformal         wood     4   0.963+-0.011   0.934+-0.001   0.865+-0.003   0.956    78.2
patchcore+conformal         wood    16   0.968+-0.003   0.939+-0.002   0.872+-0.002   0.944    90.3
 padim+conformal         wood     1   0.953+-0.024   0.877+-0.007   0.831+-0.005   0.844    92.4
 padim+conformal         wood     4   0.968+-0.022   0.897+-0.007   0.835+-0.005   0.939    98.4
 padim+conformal         wood    16   0.984+-0.009   0.935+-0.005   0.878+-0.016   0.978    96.2
patchcore+conformal       zipper     1   0.791+-0.017   0.963+-0.008   0.877+-0.022   0.549    76.0
patchcore+conformal       zipper     4   0.920+-0.019   0.975+-0.001   0.914+-0.005   0.798    81.1
patchcore+conformal       zipper    16   0.953+-0.011   0.981+-0.001   0.932+-0.005   0.958    85.3
 padim+conformal       zipper     1   0.818+-0.037   0.942+-0.005   0.828+-0.021   0.588    92.2
 padim+conformal       zipper     4   0.813+-0.055   0.950+-0.007   0.845+-0.030   0.490    92.0
 padim+conformal       zipper    16   0.911+-0.013   0.973+-0.004   0.908+-0.015   0.739    91.5

Wrote output/task6/conformal.json (270 runs)
